MARKER-FAMILY EXEMPLAR CENSUS  (type 0x6534284A)
generated by tools/research/udriveit/run_census.py
game    : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe
plugins : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins
files scanned (DBPF): 532
exemplars found     : 11118
exemplars parsed OK : 11118
parse failures      : 0

PROPERTY IDS DECODED BY NAME:
  0x00000010  ExemplarType
  0x00000020  ExemplarName
  0x0ABFC024  (seen 0x1C / 0x1E)
  0x27812810  OccupantSize
  0x27812820  ResourceKeyType0
  0x27812821  ResourceKeyType1
  0x27812822  ResourceKeyType2
  0x27812823  ResourceKeyType3
  0x27812824  ResourceKeyType4
  0x27812825  ResourceKeyType5
  0x4A149631  MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5)
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 8
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'R6x12x1_$$$puttinggreen_AE21'
      0x27812810 OccupantSize                 float32  {6, 1, 12}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0xAE210000}
      0x27812870                              uint32   {0xA0000008}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xA8C265B}
      0xE9A316EB                              uint8    {0x3}

--- {T=0x6534284A, G=0xC977C536, I=0xAE340000}  Street1x1x2_$$$bluepostbox_ae34
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street1x1x2_$$$bluepostbox_ae34'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x18}
      0x27812810 OccupantSize                 float32  {1.25, 2.25, 1.25}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0xAE340000}
      0x27812870                              uint32   {0xA0000028}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3865}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x3}

--- {T=0x6534284A, G=0xC977C536, I=0xAE3A0000}  R4x8x3_$oldappliances_AE3A
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'R4x8x3_$oldappliances_AE3A'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1C}
      0x27812810 OccupantSize                 float32  {4, 3, 8}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0xAE3A0000}
      0x27812870                              uint32   {0xA0000001}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C24A6}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0xC96D2132}  Lot Retaining Wall
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 6
      0x00000010 ExemplarType                 uint32   {0x15}
      0x00000020 ExemplarName                 string   'Lot Retaining Wall'
      0x00000021                              uint32   {0xC96D2132}
      0x295961F2                              uint32   {0x695C00C6, 0x695C00C7, 0x695C00C8, 0x695C00C9, 0x695C00CA}
      0x295961F3                              float32  {16}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C1773}

--- {T=0x6534284A, G=0xC977C536, I=0xC96D2133}  Lot Retaining Wall
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 6
      0x00000010 ExemplarType                 uint32   {0x15}
      0x00000020 ExemplarName                 string   'Lot Retaining Wall'
      0x00000021                              uint32   {0xC96D2133}
      0x295961F2                              uint32   {0x695C00C6, 0x695C00C7, 0x695C00C8, 0x695C00C9, 0x695C00CA}
      0x295961F3                              float32  {16}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C1773}

--- {T=0x6534284A, G=0xC977C536, I=0xC96D2134}  LotRetainingWall-Ind
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 6
      0x00000010 ExemplarType                 uint32   {0x15}
      0x00000020 ExemplarName                 string   'LotRetainingWall-Ind'
      0x00000021                              uint32   {0xC96D2134}
      0x295961F2                              uint32   {0x69F80000, 0x69F80001, 0x69F80002, 0x69F80003, 0x69F80004}
      0x295961F3                              float32  {16}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C1773}

--- {T=0x6534284A, G=0xC977C536, I=0xC96D2135}  LotRetainingWall-$$$ivy
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 6
      0x00000010 ExemplarType                 uint32   {0x15}
      0x00000020 ExemplarName                 string   'LotRetainingWall-$$$ivy'
      0x00000021                              uint32   {0xC96D2135}
      0x295961F2                              uint32   {0x69F90000, 0x69F90001, 0x69F90002, 0x69F90003, 0x69F90004}
      0x295961F3                              float32  {16}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C1773}

--- {T=0x6534284A, G=0xC977C536, I=0xC96D2136}  LotRetainingWall-$$rock
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 6
      0x00000010 ExemplarType                 uint32   {0x15}
      0x00000020 ExemplarName                 string   'LotRetainingWall-$$rock'
      0x00000021                              uint32   {0xC96D2136}
      0x295961F2                              uint32   {0x69FA0000, 0x69FA0001, 0x69FA0002, 0x69FA0003, 0x69FA0004}
      0x295961F3                              float32  {16}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C1773}

--- {T=0x6534284A, G=0xC977C536, I=0xC96D2137}  LotRetainingWall-r$con
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 6
      0x00000010 ExemplarType                 uint32   {0x15}
      0x00000020 ExemplarName                 string   'LotRetainingWall-r$con'
      0x00000021                              uint32   {0xC96D2137}
      0x295961F2                              uint32   {0x69FB0000, 0x69FB0001, 0x69FB0002, 0x69FB0003, 0x69FB0004}
      0x295961F3                              float32  {16}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C1773}

--- {T=0x6534284A, G=0xC977C536, I=0xCA3D9720}  Ut8x8_SmControlTowerprop
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Ut8x8_SmControlTowerprop'
      0x27812810 OccupantSize                 float32  {8, 36, 8}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x3700000}
      0x29244DB5                              uint8    {0x13}
      0x49BEDA31                              uint8    {0x2}
      0x4A89FCF3                              bool     {0x1}
      0x4A9F188B                              bool     {0x1}
      0x6A95E503                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0x2A8C3FDC}
      0x8A5E5DB8                              bool     {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0xCA3D9721}  Ut20x10_SmTerminalprop
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Ut20x10_SmTerminalprop'
      0x27812810 OccupantSize                 float32  {20, 18, 10}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x3530000}
      0x29244DB5                              uint8    {0x1E}
      0x49BEDA31                              uint8    {0x2}
      0x4A89FCF3                              bool     {0x1}
      0x4A9F188B                              bool     {0x1}
      0x6A95E503                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0x2A8C40C4}
      0x8A5E5DB8                              bool     {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0xCA3D9722}  Ut14x14_MedControlTower
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Ut14x14_MedControlTower'
      0x27812810 OccupantSize                 float32  {14, 49, 14}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x3710000}
      0x29244DB5                              uint8    {0x23}
      0x49BEDA31                              uint8    {0x3}
      0x4A89FCF3                              bool     {0x1}
      0x4A9F188B                              bool     {0x1}
      0x6A95E503                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0x2A8C3FDC}
      0x8A5E5DB8                              bool     {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0xCA3D9723}  Ut24x20_SmHanger
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Ut24x20_SmHanger'
      0x27812810 OccupantSize                 float32  {24, 9, 20}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x3510000}
      0x29244DB5                              uint8    {0x21}
      0x49BEDA31                              uint8    {0x2}
      0x4A89FCF3                              bool     {0x1}
      0x4A9F188B                              bool     {0x1}
      0x6A95E503                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C40F9}
      0x8A5E5DB8                              bool     {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0xCA3D9724}  Ut44x28_LgHanger
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Ut44x28_LgHanger'
      0x27812810 OccupantSize                 float32  {44, 22, 28}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x3520000}
      0x29244DB5                              uint8    {0x21}
      0x49BEDA31                              uint8    {0x3}
      0x4A89FCF3                              bool     {0x1}
      0x4A9F188B                              bool     {0x1}
      0x6A95E503                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8C40F9}
      0x8A5E5DB8                              bool     {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0xCA3D9725}  Ut20x20_LgControlTower
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Ut20x20_LgControlTower'
      0x27812810 OccupantSize                 float32  {20, 78, 20}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x3500000}
      0x29244DB5                              uint8    {0x19}
      0x49BEDA31                              uint8    {0x2}
      0x4A89FCF3                              bool     {0x1}
      0x4A9F188B                              bool     {0x1}
      0x6A95E503                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0x2A8C3FDC}
      0x8A5E5DB8                              bool     {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0xCA8850A7}  Ut32x30_MedTerminalHubprop
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Ut32x30_MedTerminalHubprop'
      0x27812810 OccupantSize                 float32  {32, 21, 30}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x3540000}
      0x29244DB5                              uint8    {0x1E}
      0x49BEDA31                              uint8    {0x3}
      0x4A89FCF3                              bool     {0x1}
      0x4A9F188B                              bool     {0x1}
      0x6A95E503                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0x2A8C40C4}
      0x8A5E5DB8                              bool     {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0xCAB8188C}  Effect_boats_recreational_small
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 7
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Effect_boats_recreational_small'
      0x27812810 OccupantSize                 float32  {16, 0, 16}
      0xA977A86B OccupantClassGUID (default 0x2977AA47 = the 0x68-byte marker) uint32   {0x2977AA49}
      0xC98204B8                              string   'boats_recreational_small'
      0xC98204B9                              string   ''
      0xE9822D62                              uint32   {0x0}

--- {T=0x6534284A, G=0xC977C536, I=0xCAB8188D}  Effect_boats_recreational_large
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 7
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Effect_boats_recreational_large'
      0x27812810 OccupantSize                 float32  {16, 0, 16}
      0xA977A86B OccupantClassGUID (default 0x2977AA47 = the 0x68-byte marker) uint32   {0x2977AA49}
      0xC98204B8                              string   'boats_recreational_large'
      0xC98204B9                              string   ''
      0xE9822D62                              uint32   {0x0}

--- {T=0x6534284A, G=0xC977C536, I=0xCAB8188E}  Effect_airport_luggage_trolley
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 9
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Effect_airport_luggage_trolley'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1C}
      0x27812810 OccupantSize                 float32  {16, 0, 16}
      0x6A959E71                              bool     {0x1}
      0xA977A86B OccupantClassGUID (default 0x2977AA47 = the 0x68-byte marker) uint32   {0x2977AA49}
      0xC98204B8                              string   'airport_luggage_trolley'
      0xC98204B9                              string   ''
      0xE9822D62                              uint32   {0x0}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F1C}  CO$$$12x28_1ChiOfficeBldg1_cc073f1c
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$12x28_1ChiOfficeBldg1_cc073f1c'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 82771968}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {12, 11, 28}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F1E}  CO$$$12x28_1HouOfficeBldg1_CC073F1E
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$12x28_1HouOfficeBldg1_CC073F1E'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 89063424}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {12, 14, 28}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F1F}  CO$$$12x28_1NYOfficeBldg1_CC073F1F
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$12x28_1NYOfficeBldg1_CC073F1F'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 88276992}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {12, 11, 28}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F20}  CO$$$14x14_4ChiOfficeBldg3_CC073F20
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$14x14_4ChiOfficeBldg3_CC073F20'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 83623936}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {14, 34, 14}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F22}  CO$$$14x14_4HouOfficeBldg3_CC073F22
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$14x14_4HouOfficeBldg3_CC073F22'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 92471296}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {14, 40, 14}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F23}  CO$$$14x14_4NYOfficeBldg3_CC073F23
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$14x14_4NYOfficeBldg3_CC073F23'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 91815936}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {14, 53, 14}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F25}  CO$$$14x14_5HouOfficeBldg5_CC073F25
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$14x14_5HouOfficeBldg5_CC073F25'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 92602368}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {14, 46, 14}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F26}  CO$$$14x14_5NYOfficeBldg5_CC073F26
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$14x14_5NYOfficeBldg5_CC073F26'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 91947008}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {14, 63, 14}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F27}  CO$$$14x22_5ChiOfficeBldg7_CC073F27
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$14x22_5ChiOfficeBldg7_CC073F27'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 83755008}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {14, 50, 22}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F29}  CO$$$14x22_5HouOfficeBldg7_CC073F29
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$14x22_5HouOfficeBldg7_CC073F29'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 92733440}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {14, 20, 22}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F2A}  CO$$$14x22_5NYOfficeBldg7_CC073F2A
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$14x22_5NYOfficeBldg7_CC073F2A'}
      0x27812821 ResourceKeyType1             Uint32   {1523640343, 3134937073, 92078080}
      0x29244DB5                              Uint8    {36}
      0x49BEDA31                              Uint8    {3}
      0x4A89FCF3                              Bool     {True}
      0x6A95E503                              Bool     {True}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} Uint32   {0, 0, 0}
      0x8A5E5DB8                              Bool     {True}
      0x4A9F188B                              Bool     {True}
      0x27812810 OccupantSize                 Float32  {14, 28, 22}

--- {T=0x6534284A, G=0xC977C536, I=0xCC073F2B}  CO$$$24x24_1ChiOfficeBldg4_CC073F2B
    file      : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins\150-mods\t-wrecks.maxis-prop-names-and-query-fix.2.0.sc4pac\z_All Maxis building props with proper names.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 11
      0x00000010 ExemplarType                 Uint32   {30}
      0x00000020 ExemplarName                 String   {b'CO$$$24x24_1ChiOfficeBldg4_CC073F2B'}
